"species","year","doy","lat","lon","elevation","temperature"
"Aster alpinus",1951,231,46.98,10.37,NA,-0.621544715447117
"Aster alpinus",1979,193,46.58,10.39,1819,3.89130434782612
"Aster alpinus",1946,NA,46.55,9.89,NA,6.691935483871
"Aster alpinus",1968,233,46.61,9.36,2110,1.28739837398377
"Aster alpinus",1952,203,46.89,9.48,2280,2.38695652173916
"Aster alpinus",1989,227,46.52,9.83,2380,-0.406097560975573
"Aster alpinus",1979,195,46.78,10.2,1630,5.06086956521742
"Viola calcarata",1985,175,46.03,7.21,2120,4.20322580645165
"Viola calcarata",1973,164,45.91,7.09,2123,2.21504065040654
"Viola calcarata",1950,159,46.03,7.77,2196,2.10000000000003
"Viola calcarata",1949,157,46.21,7.87,2078,5.70652173913047
"Viola calcarata",1991,185,46.39,8.05,2305,6.27258064516133
"Viola calcarata",1983,208,46.57,8.39,2009,2.93130081300816
"Viola calcarata",1951,181,46.26,7.93,2108,1.38008130081304
"Viola calcarata",1951,195,45.87,7.17,2475,-1.75813008130078
"Viola calcarata",1951,181,46.25,7.94,2303,-0.0581300813007762
"Viola calcarata",1941,201,46.41,7.59,2701,-2.0838709677419
"Viola calcarata",1952,167,46,7.75,2251,3.57282608695656
"Viola calcarata",1985,175,46.03,7.21,2120,4.20322580645165
"Viola calcarata",1941,200,46.4,7.61,2212,1.47580645161294
"Viola calcarata",1951,192,46.09,7.9,2339,-1.50284552845525
"Viola calcarata",2012,168,46.39,8.06,2013,4.83130081300816
"Viola calcarata",1988,155,46.44,9.66,2000,3.33804347826091
"Viola calcarata",1984,199,46.44,14.18,1970,1.10853658536589
"Viola calcarata",1964,145,46.45,14.18,1650,3.59715447154475
"Viola calcarata",1978,164,46.8,9.69,1900,2.56451612903229
"Viola calcarata",1947,146,46.92,9.49,1980,2.84837398373987
"Viola calcarata",1991,211,46.59,9.84,2500,2.62741935483875
"Viola calcarata",1986,166,46.74,9.38,1883,2.34349593495939
"Viola calcarata",1945,195,46.58,9.85,NA,2.38870967741939
"Viola calcarata",1986,167,46.45,9.58,2126,-0.736991869918667
"Viola calcarata",1975,179,46.83,9.86,1670,2.48089430894312
"Homogyne alpina",1976,176,46.34,7.98,1049,9.2903225806452
"Homogyne alpina",1986,186,46.24,8.04,2351,-0.0223577235772
"Homogyne alpina",1982,181,46.15,7.64,2265,2.94838709677422
"Homogyne alpina",1967,193,46.96,8.67,1929,2.83292682926832
"Homogyne alpina",1946,197,46.13,7.95,2051,3.15645161290326
"Homogyne alpina",1950,179,46.22,7.6,1671,2.71451612903229
"Homogyne alpina",1946,197,46.13,7.95,2051,3.15645161290326
"Homogyne alpina",1982,180,46.11,7.64,2020,5.66290322580649
"Homogyne alpina",1982,182,46.14,7.59,2551,0.596774193548425
"Homogyne alpina",1973,161,46.2,7.85,1731,3.94186991869922
"Homogyne alpina",1971,171,46.79,10.19,2120,2.63699186991873
"Homogyne alpina",1948,162,46.1,7.93,2102,4.35645161290326
"Homogyne alpina",1978,189,46.25,8.01,2182,1.29677419354842
"Homogyne alpina",1981,230,46.09,7.9,2451,-1.4596774193548
"Homogyne alpina",1980,165,48.83,23,NA,4.41991869918702
"Homogyne alpina",1987,226,46.75,9.6,2700,-2.94756097560972
"Homogyne alpina",2016,173,42.43,2.13,2170,2.21504065040654
"Homogyne alpina",2010,176,47.53,13.5,935,8.82723577235776
"Homogyne alpina",2007,147,47.46,13.43,1700,5.93586956521743
"Homogyne alpina",1997,173,47.4,15.36,1560,4.71422764227646
"Homogyne alpina",1998,203,47.17,11.79,2050,5.42419354838713
"Homogyne alpina",1960,158,46.97,9.81,NA,3.99634146341467
"Homogyne alpina",1957,207,46.02,7.43,2860,-1.63709677419351
"Homogyne alpina",1969,173,46.5,9.9,NA,1.03048780487809
"Homogyne alpina",1948,201,46.64,10.29,NA,1.46451612903229
"Homogyne alpina",1962,213,46.65,9.75,NA,0.0516260162601944
"Homogyne alpina",1944,204,46.79,10.29,NA,7.10121951219516
"Homogyne alpina",1945,194,46.58,9.78,NA,3.76451612903229
"Homogyne alpina",1980,NA,46.86,9.84,2300,-0.307723577235733
"Homogyne alpina",1969,169,46.6,9.39,2070,0.0939024390244242
"Homogyne alpina",1975,179,46.83,9.86,1670,2.48089430894312
"Homogyne alpina",1984,217,46.75,9.6,2725,-3.33048780487802
"Homogyne alpina",1984,207,46.75,9.55,1675,3.1686991869919
"Homogyne alpina",2011,190,46.8,9.78,2425,-1.04186991869916
"Homogyne alpina",1974,191,46.94,10.36,NA,1.67065217391308
"Homogyne alpina",1953,196,46.45,9.55,2000,1.64430894308946
"Homogyne alpina",1979,187,46.75,9.95,2386,-1.38369565217388
"Homogyne alpina",1980,187,46.92,10.36,2157,-0.604471544715415
"Homogyne alpina",1982,191,46.94,10.31,2540,1.20483870967746
"Homogyne alpina",1966,173,46.6,9.4,1840,2.91178861788621
